suite,case,size,config,model_device,solver_device,linear_solver,nvar,ncon,nnzj,nnzh,tparse,tcreate,ttotal,teval_launch_only,tlinsolve_launch_only,tinit,nreps,iter,status,objective,hostname,device,timestamp
rosenbrock,rosenrock,20,cpu-cpu,cpu,cpu,LDLFactorizations,20,18,54,165,0.0,2.4363e-5,8.5428e-5,1.2928e-5,1.2819e-5,2.5987625122070312e-5,3,7,SOLVE_SUCCEEDED,6.232302087882607,node4115,none,2026-08-05T21:43:12.071
rosenbrock,rosenrock,2000,cpu-cpu,cpu,cpu,LDLFactorizations,2000,1998,5994,17985,0.0,0.000252748,0.005397552,0.001059893,0.0006041119999999999,0.0019550323486328125,3,7,SOLVE_SUCCEEDED,6.232302087882607,node4115,none,2026-08-05T21:43:13.424
rosenbrock,rosenrock,200000,cpu-cpu,cpu,cpu,LDLFactorizations,200000,199998,599994,1799985,0.0,0.007115371,0.519551331,0.10935048199999997,0.06770302899999998,0.16614389419555664,3,7,SOLVE_SUCCEEDED,6.232302087882607,node4115,none,2026-08-05T21:43:16.320
opf,pglib_opf_case1354_pegase.m,1354,cpu-cpu,cpu,cpu,LDLFactorizations,11192,16646,62959,90572,0.003561931,0.001039163,0.263295964,0.02598757700000001,0.116218101,0.020982980728149414,3,44,SOLVE_SUCCEEDED,1.255743148715937e6,node4115,none,2026-08-05T21:43:28.298
opf,pglib_opf_case9241_pegase.m,9241,cpu-cpu,cpu,cpu,LDLFactorizations,85568,130826,502843,726083,0.050473813,0.005158272,4.172959052,0.2926124679999997,2.4081276259999997,0.20495295524597168,2,63,SOLVE_SUCCEEDED,6.217735261022968e6,node4115,none,2026-08-05T21:43:38.082
opf,pglib_opf_case78484_epigrids.m,78478,cpu-cpu,cpu,cpu,LDLFactorizations,674562,1039062,3950953,5708389,0.250268111,0.043696619,86.688157216,4.581287491000001,61.65234372999996,2.3808279037475586,1,114,SOLVE_SUCCEEDED,1.513008024370502e7,node4115,none,2026-08-05T21:45:06.289
