framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
examodels,cpu,20,0.416773541,2.091450357,0.023772509,1.1e-7,0.140829508,1.1e-6
examodels,cpu,200,0.343864796,2.094550379,0.02380322,5.8e-7,0.141623102,1.138e-5
examodels,cpu,2000,0.349858061,2.091794178,0.02392735,5.39e-6,0.142416774,0.000116261
examodels,cpu,20000,0.352702693,2.085351391,0.023563949,5.587e-5,0.138977801,0.001159555
examodels,cpu,200000,0.351415588,2.09945287,0.025418346,0.000564302,0.141155819,0.011712209
