problem,framework,device,n,case,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,nnzj,nnzh,hostname,commit
lv,examodels,cpu,20,,1,4.0e-5,0.0003,7.000000000000001e-5,0.00058,0.00103,native,54,165,node4406,ec55dc3
lv,examodels,cpu,200,,1,0.00016999999999999999,0.0028,0.0005600000000000001,0.00629,0.011300000000000001,native,594,1785,node4406,ec55dc3
lv,examodels,cpu,2000,,1,0.00149,0.02726,0.00549,0.06275,0.114051,native,5994,17985,node4406,ec55dc3
lv,examodels,cpu,20000,,1,0.01466,0.271761,0.05541,0.6217520000000001,1.154795,native,59994,179985,node4406,ec55dc3
lv,examodels,cpu,200000,,1,0.14700100000000002,2.742392,0.563582,6.296887,11.669419,native,599994,1799985,node4406,ec55dc3
