experiment,backend,n_request,nkind,nvar,ncon,tconstruct_ms,cconstruct_ms,tfirsteval_ms,cfirsteval_ms,tsolve_ms,csolve_ms,compile_total_ms,recompile_ms,status
size,cpu,1000,1,1000,999,318.952,318.362,0.017,0.000,4433.502,4427.607,4745.969,71.359,SOLVE_SUCCEEDED
size,cpu,10000,1,10000,9999,339.864,338.797,0.062,0.000,4714.715,4677.992,5016.789,53.096,SOLVE_SUCCEEDED
size,cpu,100000,1,100000,99999,365.760,324.283,3.893,0.000,5001.004,4459.452,4783.735,49.153,SOLVE_SUCCEEDED
size,cpu,1000000,1,1000000,999999,517.362,370.909,49.451,0.000,9160.024,4641.497,5012.405,48.482,SOLVE_SUCCEEDED
kinds,cpu,10000,1,10000,9999,357.990,356.857,0.078,0.000,4661.622,4626.231,4983.088,44.858,SOLVE_SUCCEEDED
kinds,cpu,10000,2,10000,9999,505.558,504.391,0.199,0.000,16543.928,4744.221,5248.612,48.031,INFEASIBLE_PROBLEM_DETECTED
kinds,cpu,10000,4,10000,9999,810.927,809.479,0.194,0.000,6102.847,4684.913,5494.391,45.463,MAXIMUM_ITERATIONS_EXCEEDED
kinds,cpu,10000,8,10000,9999,1512.416,1510.631,0.198,0.000,77205.141,4906.757,6417.388,45.361,MAXIMUM_ITERATIONS_EXCEEDED
kinds,cpu,10000,16,10000,9999,2808.618,2806.321,0.272,0.000,6298.980,5157.790,7964.111,45.659,MAXIMUM_ITERATIONS_EXCEEDED
