experiment,backend,n_request,nkind,nvar,ncon,tconstruct_ms,cconstruct_ms,tfirsteval_ms,cfirsteval_ms,tsolve_ms,csolve_ms,compile_total_ms,recompile_ms,status
size,cuda,1000,1,1000,999,17963.120,16207.019,2633.538,1855.417,61230.046,48968.666,67031.103,584.610,SOLVE_SUCCEEDED
size,cuda,10000,1,10000,9999,17757.046,16134.676,2697.495,1915.308,61262.949,48658.213,66708.196,578.732,SOLVE_SUCCEEDED
size,cuda,100000,1,100000,99999,17901.549,16278.530,2492.299,1771.523,61113.813,48847.646,66897.699,578.138,SOLVE_SUCCEEDED
size,cuda,1000000,1,1000000,999999,17910.080,16146.540,2610.458,1835.133,64863.425,48219.074,66200.748,608.200,SOLVE_SUCCEEDED
kinds,cuda,10000,1,10000,9999,17525.165,15888.418,2592.786,1819.060,61442.388,48986.062,66693.540,597.058,SOLVE_SUCCEEDED
kinds,cuda,10000,2,10000,9999,17790.530,16243.393,3095.211,2116.792,61927.623,49381.024,67741.209,556.525,SOLVE_SUCCEEDED
kinds,cuda,10000,4,10000,9999,18492.833,16921.057,4280.390,2911.037,71787.476,51867.533,71699.628,632.833,MAXIMUM_ITERATIONS_EXCEEDED
kinds,cuda,10000,8,10000,9999,19401.913,17419.437,6442.189,4136.997,73096.543,53005.091,74561.525,620.994,MAXIMUM_ITERATIONS_EXCEEDED
kinds,cuda,10000,16,10000,9999,20786.107,19185.751,11212.926,7564.565,75738.734,54105.617,80855.933,587.213,MAXIMUM_ITERATIONS_EXCEEDED
