framework,device,n,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,nnzj,nnzh,hostname,commit
examodels,cuda,20,1,0.036425,0.00699,0.026315,0.01292,0.020425,native,54,165,node2900,d33b6b7
examodels,cuda,200,1,0.037509,0.0074270000000000004,0.02831,0.013829,0.022748,native,594,1785,node2900,d33b6b7
examodels,cuda,2000,1,0.049339,0.007568,0.025814,0.013097000000000001,0.021211999999999998,native,5994,17985,node2900,d33b6b7
examodels,cuda,20000,1,0.0496,0.007571,0.027800000000000002,0.014686,0.022674999999999997,native,59994,179985,node2900,d33b6b7
examodels,cuda,200000,1,0.050929,0.0074540000000000006,0.028288,0.014369999999999999,0.023298,native,599994,1799985,node2900,d33b6b7
