problem,framework,device,n,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,nnzj,nnzh,hostname,commit
elec,examodels,cpu,50,1,0.00416,8.999999999999999e-5,0.009840000000000002,8.0e-5,0.04091,native,150,25875,node4406,ecec181
elec,examodels,cpu,100,1,0.016560000000000002,0.00011999999999999999,0.0395,0.00014000000000000001,0.166891,native,300,104250,node4406,ecec181
elec,examodels,cpu,200,1,0.06792,0.00019999999999999998,0.159071,0.00026,0.6735829999999999,native,600,418500,node4406,ecec181
