suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
OPF-polar,pglib_opf_case3022_goc.m,pglib_opf_case3022_goc.m,JuMP,23238,34990,125203,182548,4.38e-7,0.000670282,0.000157341,0.005756722,0.028419817,4.234e-6,0.004463807,0.185049117,1.744782125,0,0.0
OPF-polar,pglib_opf_case4837_goc.m,pglib_opf_case4837_goc.m,JuMP,41398,64030,233663,341758,3.51e-7,0.001263844,0.000277357,0.016982929,0.055185862,7.325e-6,0.014892069,0.374635234,3.149934537,0,0.0
OPF-polar,pglib_opf_case8387_pegase.m,pglib_opf_case8387_pegase.m,JuMP,78748,118702,441065,641188,1.437e-6,0.002866158,0.000711597,0.036076192,0.109544845,1.408e-5,0.033050244,1.48426688,6.619553249,0,0.0
OPF-polar,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,JuMP,179236,274918,1005090,1469424,4.285e-6,0.009304352,0.001570595,0.086616231,0.265921169,3.4469e-5,0.08128819,6.727875134,18.300659941,0,0.0
OPF-rect,pglib_opf_case30_ieee.m,pglib_opf_case30_ieee.m,JuMP,236,408,1449,1598,5.6e-8,1.1177e-5,1.346e-6,3.866e-5,2.1575e-5,4.0e-8,1.4874e-5,0.000589758,0.003820405,0,0.0
OPF-rect,pglib_opf_case162_ieee_dtc.m,pglib_opf_case162_ieee_dtc.m,JuMP,1484,2637,9829,11112,6.1e-8,8.1669e-5,7.867e-6,0.000337745,0.000244345,1.09e-7,0.000123112,0.007458285,0.024776008,0,0.0
OPF-rect,pglib_opf_case793_goc.m,pglib_opf_case793_goc.m,JuMP,5432,9564,32775,38034,1.78e-7,0.000376052,3.1196e-5,0.001194627,0.000861422,3.37e-7,0.000511501,0.060524104,0.08856928,0,0.0
OPF-rect,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,JuMP,19088,33828,116095,135048,1.12e-7,0.001221032,0.0001007,0.004456252,0.003311903,3.237e-6,0.001653586,0.606212625,0.39366247,0,0.0
OPF-rect,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,JuMP,25086,43551,163607,188462,4.28e-7,0.001955137,0.00017065,0.008412505,0.007101738,4.256e-6,0.002827385,1.406834916,0.608886103,0,0.0
OPF-rect,pglib_opf_case4619_goc.m,pglib_opf_case4619_goc.m,JuMP,42532,75527,280381,328615,3.39e-7,0.003985968,0.000287407,0.014181446,0.015166971,7.576e-6,0.00634529,3.207302551,1.035523383,0,0.0
OPF-rect,pglib_opf_case6515_rte.m,pglib_opf_case6515_rte.m,JuMP,50546,89320,316817,366514,5.58e-7,0.00481137,0.00038578,0.016065427,0.017818337,8.954e-6,0.008001234,4.18921318,1.365829211,0,0.0
OPF-rect,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,JuMP,117370,197906,738289,835838,3.093e-6,0.015822393,0.001219125,0.046657444,0.046074957,2.1055e-5,0.022992078,27.858693874,3.389971873,0,0.0
OPF-polar,pglib_opf_case39_epri.m,pglib_opf_case39_epri.m,AMPL,282,401,1479,485,1.04e-7,1.2838e-5,3.87e-7,2.8488e-5,6.5494e-5,1.0944e-5,5.4505e-5,5.4083e-5,0.001675785,0,0.0
OPF-polar,pglib_opf_case197_snem.m,pglib_opf_case197_snem.m,AMPL,1608,2397,9045,2627,2.85e-7,0.000136543,3.239e-6,0.000288632,0.000586963,6.8115e-5,0.000439725,0.00043615,0.011473845,0,0.0
OPF-polar,pglib_opf_case1803_snem.m,pglib_opf_case1803_snem.m,AMPL,15246,23172,87917,25373,3.973e-6,0.001535602,4.026e-5,0.003340016,0.006919854,0.001012115,0.005518402,0.005508186,0.120190647,0,0.0
OPF-polar,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,AMPL,24540,38196,146039,42986,6.176e-6,0.002959168,7.0775e-5,0.00700354,0.013563647,0.001690323,0.011245085,0.011268794,0.208767853,0,0.0
OPF-polar,pglib_opf_case3022_goc.m,pglib_opf_case3022_goc.m,AMPL,23238,34990,130749,41184,6.851e-6,0.002507777,6.9082e-5,0.005845913,0.010579598,0.001610096,0.009841466,0.009777189,0.187573441,0,0.0
OPF-polar,pglib_opf_case4837_goc.m,pglib_opf_case4837_goc.m,AMPL,41398,64030,243289,72109,1.0168e-5,0.006264327,0.000347357,0.013600827,0.026964454,0.002948288,0.020417366,0.020375009,0.355927303,0,0.0
OPF-polar,pglib_opf_case8387_pegase.m,pglib_opf_case8387_pegase.m,AMPL,78748,118702,457335,135385,2.2484e-5,0.013656662,0.000810748,0.029794253,0.078313028,0.006421422,0.048634468,0.048538087,0.752974188,0,0.0
OPF-polar,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,AMPL,179236,274918,1046155,313111,0.000150819,0.032319699,0.001930529,0.066807277,0.128785061,0.01893634,0.094711782,0.094485566,1.704262324,0,0.0
OPF-rect,pglib_opf_case30_ieee.m,pglib_opf_case30_ieee.m,AMPL,236,378,1506,418,8.8e-8,1.3123e-5,1.76e-7,3.3894e-5,6.4133e-5,1.9758e-5,5.9319e-5,5.8517e-5,0.00170879,0,0.0
OPF-rect,pglib_opf_case162_ieee_dtc.m,pglib_opf_case162_ieee_dtc.m,AMPL,1484,2475,10086,2742,2.38e-7,0.000186704,8.62e-7,0.000408026,0.0009053,0.000155907,0.000588234,0.000565384,0.012939508,0,0.0
OPF-rect,pglib_opf_case793_goc.m,pglib_opf_case793_goc.m,AMPL,5432,8771,34170,9695,1.872e-6,0.000636537,4.688e-6,0.001425287,0.003333488,0.0009622,0.002046798,0.002023585,0.046403696,0,0.0
OPF-rect,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,AMPL,19088,31092,121566,34336,4.894e-6,0.002539465,1.4679e-5,0.006198343,0.015790606,0.003191878,0.010123571,0.010109629,0.179834233,0,0.0
OPF-rect,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,AMPL,25086,40682,164860,42807,5.552e-6,0.004401843,1.8876e-5,0.010443997,0.031220888,0.004595417,0.016851369,0.016838433,0.260425042,0,0.0
OPF-rect,pglib_opf_case4619_goc.m,pglib_opf_case4619_goc.m,AMPL,42532,70908,289210,75834,1.0307e-5,0.008175781,3.1092e-5,0.018487296,0.060624478,0.007768743,0.027000597,0.026979516,0.455222183,0,0.0
OPF-rect,pglib_opf_case6515_rte.m,pglib_opf_case6515_rte.m,AMPL,50546,82805,329644,88109,9.922e-6,0.009607614,3.43e-5,0.021770096,0.072780779,0.010250635,0.033025962,0.032997441,0.539359255,0,0.0
OPF-rect,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,AMPL,117370,184247,745084,197345,3.8022e-5,0.025356586,0.000143983,0.055962794,0.21244594,0.035493268,0.086819433,0.086661833,1.363766045,0,0.0
