framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
examodels,cpu,20,0.275253612,1.289078888,0.023930859,1.0e-7,0.040386602,1.6e-7
examodels,cpu,200,0.262674428,1.289456101,0.023864679,6.0e-7,0.040485344,1.08e-6
examodels,cpu,2000,0.262662517,1.286238106,0.023854108,5.5e-6,0.040309932,1.021e-5
examodels,cpu,20000,0.266436886,1.287325074,0.023890049,5.637e-5,0.040498273,0.000104071
examodels,cpu,200000,0.263254653,1.373569041,0.024401962,0.000577914,0.042334567,0.001057858
