problem,framework,device,n,case,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,nnzj,nnzh,hostname,commit
lv,examodels,cuda,20,,1,0.026761999999999998,0.004311,0.016204,0.007845,0.01337,native,54,165,node2642,d8941c6
lv,examodels,cuda,200,,1,0.026905000000000002,0.004477,0.016728999999999997,0.008284000000000001,0.013890000000000001,native,594,1785,node2642,d8941c6
lv,examodels,cuda,2000,,1,0.034893,0.004406,0.016175000000000002,0.0086,0.014058,native,5994,17985,node2642,d8941c6
lv,examodels,cuda,20000,,1,0.034895999999999996,0.004445,0.016263,0.008669,0.014109,native,59994,179985,node2642,d8941c6
lv,examodels,cuda,200000,,1,0.034982,0.004449,0.016284,0.008799,0.01409,native,599994,1799985,node2642,d8941c6
