problem,case,framework,device,n,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,cpu_wall_ratio,colors_jac,colors_hess,nnz_jac,nnz_hess,unique_jac,unique_hess,computed_jac,computed_hess,tbuild_s,hostname,commit
lv,,torch,cuda,20,1,0.007657916285097599,0.007492024451494217,0.037600984796881676,0.06347009912133217,0.27679791674017906,"obj=plain/inductor,cons=plain/inductor,grad=plain/plain,jac=vmap/plain,hess=vmap/plain",1.0,,,,,,,,,,node2642,d8941c6
lv,,torch,cuda,200,1,0.0076569849625229836,0.007877941243350506,0.007396913133561611,0.008805072866380215,0.3105549840256572,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap/plain",1.0,,,,,,,,,,node2642,d8941c6
lv,,torch,cuda,2000,1,0.007668975740671158,0.0075589632615447044,0.006995978765189648,0.008597970008850098,0.3448009956628084,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap/plain",1.0,,,,,,,,,,node2642,d8941c6
lv,,torch,cuda,20000,1,0.010297051630914211,0.007800990715622902,0.007187016308307648,0.07793400436639786,0.35309907980263233,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/plain,hess=vmap/plain",1.0,,,,,,,,,,node2642,d8941c6
lv,,torch,cuda,200000,1,0.011247000657022,0.009136972948908806,0.008135917596518993,0.0968689564615488,0.6616869941353798,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/plain,hess=vmap/plain",1.0,,,,,,,,,,node2642,d8941c6
