suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
OPF-polar,pglib_opf_case3120sp_k.m,pglib_opf_case3120sp_k.m,JuMP,21608,32092,111396,162501,1.17e-7,0.000550695,0.000112884,0.005263122,0.027188458,3.66e-6,0.004204289,0.113611459,1.370182007,0,0.0
OPF-polar,pglib_opf_case4917_goc.m,pglib_opf_case4917_goc.m,JuMP,37872,56917,203613,296835,7.34e-7,0.001150893,0.000279517,0.014835975,0.050693624,6.951e-6,0.012340007,0.54798161,3.205508365,0,0.0
OPF-polar,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,JuMP,85568,130826,491980,713775,1.12e-6,0.005655695,0.000731042,0.047764659,0.126212924,1.5454e-5,0.04155366,5.971867807,7.504275047,0,0.0
OPF-polar,pglib_opf_case24464_goc.m,pglib_opf_case24464_goc.m,JuMP,203374,313641,1156996,1683585,1.746e-6,0.017812908,0.001715044,0.119562095,0.317652403,4.0578e-5,0.104085075,36.930481338,21.185468405,0,0.0
OPF-rect,pglib_opf_case30_as.m,pglib_opf_case30_as.m,JuMP,236,408,1449,1604,6.6e-8,1.0633e-5,1.404e-6,3.8286e-5,2.1965e-5,4.8e-8,1.3715e-5,0.000597213,0.003909379,0,0.0
OPF-rect,pglib_opf_case179_goc.m,pglib_opf_case179_goc.m,JuMP,1468,2558,9271,9926,7.3e-8,8.8844e-5,6.821e-6,0.000344306,0.000233237,1.08e-7,0.000125417,0.007663833,0.024261089,0,0.0
OPF-rect,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,JuMP,11192,19354,71813,83234,2.43e-7,0.000883114,7.5396e-5,0.003201368,0.0019937,1.797e-6,0.001167494,0.326165623,0.216943873,0,0.0
OPF-rect,pglib_opf_case2737sop_k.m,pglib_opf_case2737sop_k.m,JuMP,18988,33832,116007,135062,9.4e-8,0.001245897,8.6051e-5,0.004566178,0.003596921,3.142e-6,0.001686354,0.676463881,0.388458723,0,0.0
OPF-rect,pglib_opf_case3012wp_k.m,pglib_opf_case3012wp_k.m,JuMP,21082,37053,127141,147682,1.24e-7,0.001347031,0.00011043,0.005119601,0.003981067,3.601e-6,0.001831876,0.827809577,0.445460193,0,0.0
OPF-rect,pglib_opf_case4661_sdet.m,pglib_opf_case4661_sdet.m,JuMP,34758,60624,213389,246806,5.86e-7,0.003232944,0.000257113,0.01129771,0.011221381,6.072e-6,0.004929388,2.336677239,0.812414485,0,0.0
OPF-rect,pglib_opf_case7336_epigrids.m,pglib_opf_case7336_epigrids.m,JuMP,62116,109978,399325,467070,5.57e-7,0.007599692,0.000459058,0.022061899,0.02553684,1.112e-5,0.011439579,7.197170396,1.712720574,0,0.0
OPF-rect,pglib_opf_case19402_goc.m,pglib_opf_case19402_goc.m,JuMP,179562,320537,1194981,1401511,1.125e-6,0.027418105,0.001342467,0.072702181,0.083895525,3.2952e-5,0.041404215,61.459739558,7.252205445,0,0.0
OPF-polar,pglib_opf_case57_ieee.m,pglib_opf_case57_ieee.m,AMPL,448,675,2529,803,9.9e-8,2.2314e-5,5.86e-7,4.8906e-5,0.000108385,1.8322e-5,9.5749e-5,8.75e-5,0.002885684,0,0.0
OPF-polar,pglib_opf_case200_activ.m,pglib_opf_case200_activ.m,AMPL,1456,2116,7827,2591,4.77e-7,0.00012052,4.036e-6,0.000254956,0.000475875,6.2342e-5,0.000404584,0.000387059,0.010065491,0,0.0
OPF-polar,pglib_opf_case1888_rte.m,pglib_opf_case1888_rte.m,AMPL,14480,21494,80287,25020,3.997e-6,0.001333424,3.9157e-5,0.002948388,0.005901322,0.000974326,0.004933501,0.00491997,0.109490676,0,0.0
OPF-polar,pglib_opf_case2746wop_k.m,pglib_opf_case2746wop_k.m,AMPL,19582,28642,105565,34662,5.519e-6,0.001981991,5.7187e-5,0.004502835,0.009625875,0.001290628,0.007985866,0.007930309,0.150949234,0,0.0
OPF-polar,pglib_opf_case3120sp_k.m,pglib_opf_case3120sp_k.m,AMPL,21608,32092,117627,38868,4.295e-6,0.002356573,6.2461e-5,0.005364052,0.011660092,0.001473585,0.009760671,0.009346251,0.176275231,0,0.0
OPF-polar,pglib_opf_case4917_goc.m,pglib_opf_case4917_goc.m,AMPL,37872,56917,212749,66596,9.171e-6,0.00562511,0.000281007,0.012070739,0.023274522,0.00276133,0.018022994,0.017908296,0.315087047,0,0.0
OPF-polar,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,AMPL,85568,130826,502843,148747,1.9352e-5,0.016143448,0.000894825,0.03482591,0.091574234,0.00757644,0.055569966,0.055476587,0.828296048,0,0.0
OPF-polar,pglib_opf_case24464_goc.m,pglib_opf_case24464_goc.m,AMPL,203374,313641,1186591,363776,0.000124452,0.037743607,0.002204473,0.079414536,0.174604207,0.023927706,0.11590278,0.115575505,1.985809967,0,0.0
OPF-rect,pglib_opf_case30_as.m,pglib_opf_case30_as.m,AMPL,236,378,1506,424,1.12e-7,1.3126e-5,2.5e-7,3.3907e-5,6.4509e-5,1.9925e-5,5.5357e-5,5.9846e-5,0.001709317,0,0.0
OPF-rect,pglib_opf_case179_goc.m,pglib_opf_case179_goc.m,AMPL,1468,2379,9550,2477,2.58e-7,0.000165736,1.0e-6,0.000359515,0.000756305,0.000130785,0.0005449,0.00054465,0.012036638,0,0.0
OPF-rect,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,AMPL,11192,18000,72358,18866,2.599e-6,0.001441098,8.474e-6,0.003317405,0.009275715,0.002084594,0.005953638,0.00577413,0.10713675,0,0.0
OPF-rect,pglib_opf_case2737sop_k.m,pglib_opf_case2737sop_k.m,AMPL,18988,31095,121470,34339,3.65e-6,0.002696753,1.2207e-5,0.006405083,0.016646825,0.003209283,0.010477052,0.010492041,0.184098824,0,0.0
OPF-rect,pglib_opf_case3012wp_k.m,pglib_opf_case3012wp_k.m,AMPL,21082,34041,133148,37588,5.673e-6,0.003004256,1.6029e-5,0.007690685,0.019190704,0.003478738,0.011584042,0.01161913,0.205885622,0,0.0
OPF-rect,pglib_opf_case4661_sdet.m,pglib_opf_case4661_sdet.m,AMPL,34758,55963,221320,60975,7.631e-6,0.006079775,2.2897e-5,0.013866396,0.037990918,0.005697806,0.019703517,0.019678092,0.342562703,0,0.0
OPF-rect,pglib_opf_case7336_epigrids.m,pglib_opf_case7336_epigrids.m,AMPL,62116,102642,413994,107760,1.5216e-5,0.012240311,4.6236e-5,0.027470081,0.091404379,0.015280101,0.03888987,0.03969224,0.669313821,0,0.0
OPF-rect,pglib_opf_case19402_goc.m,pglib_opf_case19402_goc.m,AMPL,179562,301135,1228884,316275,0.000100771,0.037332287,0.000205937,0.085050537,0.311672325,0.060686886,0.122988696,0.122483792,2.186824866,0,0.0
