problem,framework,device,n,case,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,nnzj,nnzh,hostname,commit
lv,examodels,cuda,20,,1,0.028454,0.004687,0.017714,0.011239,0.016906,native,54,165,node5004,fb27863
lv,examodels,cuda,200,,1,0.02995,0.005302,0.019792,0.01003,0.016541,native,594,1785,node5004,fb27863
lv,examodels,cuda,2000,,1,0.033975,0.005028,0.018194,0.010731,0.017509,native,5994,17985,node5004,fb27863
lv,examodels,cuda,20000,,1,0.036816999999999996,0.004978,0.018244999999999997,0.010799,0.017491,native,59994,179985,node5004,fb27863
lv,examodels,cuda,200000,,1,0.034238,0.005538,0.020846,0.010654,0.017683,native,599994,1799985,node5004,fb27863
