problem,case,framework,device,n,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,cpu_wall_ratio,colors_jac,colors_hess,nnz_jac,nnz_hess,unique_jac,unique_hess,computed_jac,computed_hess,tbuild_s,hostname,commit
lv,,torch,cpu,20,1,0.006948597729206085,0.007339753210544586,0.009472481906414032,0.01236703246831894,1.5767915174365044,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap-rr/plain",0.99,,,,,,,,,,node4111,270c1c1
lv,,torch,cpu,200,1,0.007330439984798431,0.007721595466136932,0.009842216968536377,0.012668780982494354,1.6033174470067024,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap-rr/plain",0.99,,,,,,,,,,node4111,270c1c1
lv,,torch,cpu,2000,1,0.007479451596736908,0.01139473170042038,0.011024996638298035,0.019907020032405853,1.915736123919487,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap-rr/plain",0.99,,,,,,,,,,node4111,270c1c1
lv,,torch,cpu,20000,1,0.009302981197834015,0.043820589780807495,0.022280961275100708,0.08644815534353256,4.176664166152477,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap-rr/plain",0.99,,,,,,,,,,node4111,270c1c1
lv,,torch,cpu,200000,1,0.02342183142900467,0.37123821675777435,0.12062583118677139,0.6952425464987755,32.94946160167456,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap-rr/plain",0.99,,,,,,,,,,node4111,270c1c1
