problem,framework,device,n,case,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,nnzj,nnzh,hostname,commit
lv,examodels,cpu-mt,20,,8,0.00013,0.00033,0.00026,0.0005700000000000001,0.001081,native,54,165,node4111,270c1c1
lv,examodels,cpu-mt,200,,8,0.00015,0.002253,0.000782,0.005167,0.008812,native,594,1785,node4111,270c1c1
lv,examodels,cpu-mt,2000,,8,0.001632,0.013689,0.010264,0.026937,0.049368,native,5994,17985,node4111,270c1c1
lv,examodels,cpu-mt,20000,,8,0.0056370000000000005,0.034588,0.023593,0.074062,0.140412,native,59994,179985,node4111,270c1c1
lv,examodels,cpu-mt,200000,,8,0.026115,0.240129,0.14390799999999998,0.53314,1.063818,native,599994,1799985,node4111,270c1c1
