suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,broyden_tridiagonal,20,JuMP,20,16,80,137,1.0e-7,1.0e-7,4.4e-7,1.06e-6,1.025e-5,7.72e-6,1.05e-6,1.06e-6,0.000921474,0,0.0
LV,chained_hs50,200000,JuMP,200000,149996,449988,599988,0.000590302,0.026208054,0.000439552,0.050900673,0.009923314,0.000351882,0.024655047,47.503159899,1.731425634,0,0.0
LV,broyden_tridiagonal,20,AMPL,20,16,80,57,9.5e-7,5.7e-7,4.6e-7,1.38e-6,7.26e-6,4.91e-6,2.24e-6,2.25e-6,7.58e-5,0,0.0
LV,chained_hs50,200000,AMPL,200000,149996,449988,399993,0.005218841,0.01232306,0.005312912,0.024173807,0.060199061,0.006703247,0.028858906,0.028907736,0.533139268,0,0.0
COPS,channel,5,JuMP,200,200,1377,40,3.0e-8,1.9e-6,6.0e-7,4.44e-6,1.2e-7,3.0e-8,2.0e-6,2.861e-5,0.000429901,0,0.0
COPS,robot,15000,JuMP,135010,90012,540012,570000,3.0e-8,0.008793125,0.00016574,0.039386928,0.093392354,1.01e-5,0.025896234,12.853770353,4.785817601,0,0.0
COPS,channel,5,AMPL,200,200,1521,40,4.0e-8,2.41e-6,1.0e-7,5.52e-6,5.17e-6,1.73e-6,2.251e-5,2.177e-5,0.000411232,0,0.0
COPS,robot,15000,AMPL,135010,90012,540012,210014,1.959e-5,0.031571787,0.000535103,0.053222073,0.094245418,0.011456556,0.057668411,0.056587957,0.341938281,0,0.0
OPF-polar,pglib_opf_case162_ieee_dtc.m,pglib_opf_case162_ieee_dtc.m,JuMP,1484,2313,8579,12530,4.0e-8,2.36e-5,3.7e-6,0.000148171,0.000738753,1.2e-7,0.00012205,0.001170085,0.066593647,0,0.0
OPF-polar,pglib_opf_case4619_goc.m,pglib_opf_case4619_goc.m,JuMP,42532,66289,245400,358834,3.2e-7,0.001374156,0.00019486,0.020018255,0.082660292,2.71e-6,0.018604269,0.242776633,2.735257278,0,0.0
OPF-rect,pglib_opf_case89_pegase.m,pglib_opf_case89_pegase.m,JuMP,1042,1827,7241,8356,4.0e-8,5.913e-5,2.76e-6,0.000185681,0.000108991,9.0e-8,7.1831e-5,0.003163504,0.013492337,0,0.0
OPF-rect,pglib_opf_case4020_goc.m,pglib_opf_case4020_goc.m,JuMP,36696,64997,240487,281733,3.2e-7,0.005419483,0.00016885,0.013883709,0.014793623,2.34e-6,0.007606073,1.645238249,0.74039119,0,0.0
OPF-polar,pglib_opf_case162_ieee_dtc.m,pglib_opf_case162_ieee_dtc.m,AMPL,1484,2313,8869,2742,1.9e-7,0.000100191,3.17e-6,0.000197631,0.000373282,5.025e-5,0.000312731,0.000309841,0.004224128,0,0.0
OPF-polar,pglib_opf_case4619_goc.m,pglib_opf_case4619_goc.m,AMPL,42532,66289,254433,75834,6.64e-6,0.010923556,0.000193821,0.023956782,0.042594491,0.002410021,0.028594212,0.028702742,0.191176523,0,0.0
OPF-rect,pglib_opf_case89_pegase.m,pglib_opf_case89_pegase.m,AMPL,1042,1738,7280,1931,1.4e-7,7.869e-5,4.5e-7,0.00017004,0.000398311,9.3471e-5,0.000281131,0.000281331,0.003742046,0,0.0
OPF-rect,pglib_opf_case4020_goc.m,pglib_opf_case4020_goc.m,AMPL,36696,60977,248442,64391,5.79e-6,0.008882338,1.864e-5,0.019588054,0.071946016,0.009274339,0.022861907,0.023330439,0.221377071,0,0.0
