suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,generalized_brown,2000,JuMP,2000,1998,5994,4998,1.08e-6,5.823e-5,1.248e-5,0.000369152,0.00014302,0.000116551,5.903e-5,0.010023256,0.016062044,0,0.0
LV,generalized_brown,2000,AMPL,2000,1998,5994,3000,7.481e-5,5.147e-5,2.944e-5,9.805e-5,0.000371142,0.000172651,0.000163211,0.000162621,0.003773137,0,0.0
COPS,marine,150,JuMP,4815,4792,16326,3644,7.3e-7,4.465e-5,2.328e-5,0.0001431,7.87e-6,6.7e-7,4.6211e-5,0.009973394,0.00911447,0,0.0
COPS,marine,150,AMPL,4815,4792,16326,2594,3.59e-6,6.046e-5,5.94e-6,0.000139221,0.000263611,0.00011059,0.000301742,0.000299091,0.004784131,0,0.0
OPF-polar,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,JuMP,19088,28356,98612,143837,9.0e-8,0.000325851,6.708e-5,0.00684002,0.030082862,1.21e-6,0.005501604,0.076696926,1.005489708,0,0.0
OPF-polar,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,JuMP,117370,170588,632457,910810,3.03e-6,0.011054828,0.000814933,0.080248219,0.269122722,8.51e-6,0.068675859,6.729121143,8.48295814,0,0.0
OPF-rect,pglib_opf_case2312_goc.m,pglib_opf_case2312_goc.m,JuMP,17128,30340,106737,124404,2.6e-7,0.001647177,6.947e-5,0.006797369,0.005595494,1.14e-6,0.003255485,0.44317109,0.324437853,0,0.0
OPF-rect,pglib_opf_case10192_epigrids.m,pglib_opf_case10192_epigrids.m,JuMP,89850,159834,586541,687875,1.57e-6,0.014947285,0.000457582,0.040048925,0.043309808,6.68e-6,0.022521518,11.452657592,2.129400103,0,0.0
OPF-polar,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,AMPL,19088,28356,104083,34336,3.17e-6,0.003956177,5.488e-5,0.00930944,0.015253226,0.000782124,0.012091433,0.01152531,0.07340856,0,0.0
OPF-polar,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,AMPL,117370,170588,649513,197345,2.907e-5,0.030494433,0.000468932,0.067283773,0.133742113,0.015686259,0.082785561,0.081296834,0.589826148,0,0.0
OPF-rect,pglib_opf_case2312_goc.m,pglib_opf_case2312_goc.m,AMPL,17128,28028,110742,30350,3.02e-6,0.003459074,9.03e-6,0.007731831,0.02509626,0.001695407,0.01005319,0.00990223,0.094943541,0,0.0
OPF-rect,pglib_opf_case10192_epigrids.m,pglib_opf_case10192_epigrids.m,AMPL,89850,149645,606916,158108,2.05e-5,0.020216431,5.225e-5,0.045602003,0.175240982,0.026596236,0.054175588,0.054400468,0.592887617,0,0.0
