suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,modified_brown,200000,JuMP,200000,6,30,300031,8.465e-5,8.482e-5,0.00212066,8.554e-5,0.017657307,0.015259936,8.5281e-5,0.000445652,17.90125972,0,0.0
LV,modified_brown,200000,AMPL,200000,6,30,300002,0.01006156,3.168e-5,0.007381119,6.4051e-5,0.030571342,0.018104592,0.000379971,0.000463562,131.282066218,0,0.0
COPS,glider,8000,JuMP,40006,32007,224007,496000,3.0e-8,0.001685127,5.911e-5,0.028677181,0.112686969,2.49e-6,0.023034978,0.956006995,9.595858755,0,0.0
COPS,glider,8000,AMPL,40006,32007,224007,112014,5.14e-6,0.099732845,0.000142671,0.129969303,0.319924951,0.002853462,0.136638391,0.136567991,1.059848007,0,0.0
OPF-polar,pglib_opf_case2312_goc.m,pglib_opf_case2312_goc.m,JuMP,17128,25716,91153,132924,2.5e-7,0.000270771,6.955e-5,0.003456074,0.025562929,1.13e-6,0.002578711,0.085285403,1.006370449,0,0.0
OPF-polar,pglib_opf_case10192_epigrids.m,pglib_opf_case10192_epigrids.m,JuMP,89850,139456,511761,749183,1.56e-6,0.003886836,0.000457572,0.041207595,0.169091729,6.39e-6,0.0376178,1.601640351,5.653887532,0,0.0
OPF-rect,pglib_opf_case1951_rte.m,pglib_opf_case1951_rte.m,JuMP,15018,25977,91657,102432,3.0e-7,0.000959824,6.843e-5,0.003962937,0.002458676,9.6e-7,0.001707401,0.321912398,0.222023344,0,0.0
OPF-rect,pglib_opf_case9591_goc.m,pglib_opf_case9591_goc.m,JuMP,83572,149770,548619,643433,3.7e-7,0.014824406,0.000379683,0.03703837,0.04006669,5.75e-6,0.020879966,10.036663851,2.052542934,0,0.0
OPF-polar,pglib_opf_case2312_goc.m,pglib_opf_case2312_goc.m,AMPL,17128,25716,95467,30350,3.02e-6,0.002125694,4.282e-5,0.005428195,0.008011434,0.000687823,0.007299772,0.007339132,0.058620621,0,0.0
OPF-polar,pglib_opf_case10192_epigrids.m,pglib_opf_case10192_epigrids.m,AMPL,89850,139456,532137,158108,2.193e-5,0.018852692,0.000417871,0.041660519,0.071255717,0.00693008,0.050025495,0.049326783,0.368107015,0,0.0
OPF-rect,pglib_opf_case1951_rte.m,pglib_opf_case1951_rte.m,AMPL,15018,24026,95512,25737,2.97e-6,0.002087659,7.68e-6,0.005031651,0.013421128,0.001353255,0.00691951,0.00691214,0.067554531,0,0.0
OPF-rect,pglib_opf_case9591_goc.m,pglib_opf_case9591_goc.m,AMPL,83572,140179,567558,148656,1.508e-5,0.015619897,4.349e-5,0.036567068,0.139085629,0.020394828,0.044795053,0.044870854,0.473231289,0,0.0
