problem,framework,device,n,case,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,nnzj,nnzh,hostname,commit
lv,examodels,cpu,20,,1,4.0e-5,0.00029,7.000000000000001e-5,0.0005899999999999999,0.00113,native,54,165,node3617,d8941c6
lv,examodels,cpu,200,,1,0.00016999999999999999,0.0028,0.00066,0.0062,0.011389999999999999,native,594,1785,node3617,d8941c6
lv,examodels,cpu,2000,,1,0.00149,0.02719,0.00533,0.06234100000000001,0.114161,native,5994,17985,node3617,d8941c6
lv,examodels,cpu,20000,,1,0.01467,0.274082,0.054759999999999996,0.627225,1.1639300000000001,native,59994,179985,node3617,d8941c6
lv,examodels,cpu,200000,,1,0.146561,2.786683,0.567125,6.289311,11.569185,native,599994,1799985,node3617,d8941c6
