suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,rosenrock,20,JuMP,20,18,54,129,1.0e-7,1.1e-7,4.0e-7,1.04e-6,1.034e-5,8.38e-6,1.05e-6,1.06e-6,0.001340176,0,0.0
LV,chained_hs46,200000,JuMP,200000,133331,399993,799989,9.914e-5,0.00238259,0.002025889,0.052114627,0.209613403,0.095053224,0.05295159,0.051034172,25.268205884,0,0.0
LV,rosenrock,20,AMPL,20,18,54,39,2.7e-7,1.46e-6,4.2e-7,2.56e-6,5.6e-6,2.43e-6,3.35e-6,3.34e-6,6.742e-5,0,0.0
LV,chained_hs46,200000,AMPL,200000,133331,399993,399997,0.016673323,0.018487801,0.005845406,0.033889217,0.084075116,0.015389217,0.038468527,0.037794685,0.547281063,0,0.0
COPS,bearing,"(5, 5)",JuMP,49,28,28,133,2.5e-7,4.0e-8,7.6e-7,3.0e-8,3.0e-8,1.3e-7,6.0e-8,4.0e-8,0.000208021,0,0.0
COPS,methanol,4000,JuMP,120005,120000,647988,636483,8.9e-7,0.000822934,0.000506013,0.020451969,0.108269122,8.381e-6,0.021043352,0.021598784,2.274807676,0,0.0
COPS,bearing,"(5, 5)",AMPL,49,28,28,133,1.59e-6,1.1e-7,1.7e-6,2.4e-7,6.24e-6,3.6e-6,7.9e-7,7.9e-7,0.000134221,0,0.0
COPS,methanol,4000,AMPL,120005,120000,647988,132488,2.3021e-5,0.015659498,6.189e-5,0.028577554,0.102814577,0.00907814,0.037056672,0.03668907,0.311608097,0,0.0
OPF-polar,pglib_opf_case3_lmbd.m,pglib_opf_case3_lmbd.m,JuMP,24,28,97,134,4.0e-8,2.4e-7,5.3e-7,1.01e-6,5.57e-6,3.0e-8,8.9e-7,6.83e-6,0.000763223,0,0.0
OPF-polar,pglib_opf_case2746wp_k.m,pglib_opf_case2746wp_k.m,JuMP,19520,28446,99283,144276,1.1e-7,0.000277771,7.033e-5,0.005976406,0.033302875,1.23e-6,0.005329711,0.047108569,0.974635705,0,0.0
OPF-polar,pglib_opf_case30000_goc.m,pglib_opf_case30000_goc.m,JuMP,208624,307752,1069981,1558802,1.53e-6,0.014010926,0.001174415,0.103412875,0.374302461,1.582e-5,0.093152093,4.884632797,15.415387495,0,0.0
OPF-rect,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,JuMP,24540,43680,160899,188620,2.3e-7,0.003362193,0.000100721,0.010218321,0.0099587,1.59e-6,0.00494523,0.744823856,0.463712969,0,0.0
OPF-rect,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,JuMP,179236,316434,1155259,1352801,4.2e-6,0.035211121,0.001035284,0.095778604,0.09729422,1.53e-5,0.052898872,39.368773726,5.840045898,0,0.0
OPF-polar,pglib_opf_case3_lmbd.m,pglib_opf_case3_lmbd.m,AMPL,24,28,103,35,5.0e-8,7.8e-7,6.0e-8,1.59e-6,3.19e-6,5.9e-7,2.79e-6,2.73e-6,5.555e-5,0,0.0
OPF-polar,pglib_opf_case2746wp_k.m,pglib_opf_case2746wp_k.m,AMPL,19520,28446,104775,34446,3.76e-6,0.003740726,5.735e-5,0.008392916,0.01405688,0.000774083,0.010850496,0.010830666,0.072597418,0,0.0
OPF-polar,pglib_opf_case30000_goc.m,pglib_opf_case30000_goc.m,AMPL,208624,307752,1128843,372876,4.413e-5,0.049167802,0.001106376,0.10520728,0.171958296,0.030758151,0.125286537,0.126118484,0.926940272,0,0.0
OPF-rect,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,AMPL,24540,40938,166354,42986,3.88e-6,0.005146513,1.219e-5,0.011346624,0.041361147,0.004013797,0.014470631,0.014281159,0.140326508,0,0.0
OPF-rect,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,AMPL,179236,295676,1195874,313111,4.817e-5,0.037829588,0.00011082,0.082755386,0.325811586,0.056392646,0.101088114,0.102808291,1.205175491,0,0.0
