suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,trigo_tridiagonal,2000,JuMP,2000,4,14,2015,8.5e-7,9.0e-7,1.497e-5,1.19e-6,0.000206481,0.000210881,1.04e-6,5.18e-6,0.027930409,0,0.0
LV,chained_hs53,20,JuMP,20,11,26,36,1.0e-7,2.2e-7,2.6e-7,1.01e-6,1.52e-6,1.3e-6,2.4e-7,1.1091e-5,8.1131e-5,0,0.0
LV,trigo_tridiagonal,2000,AMPL,2000,4,14,2003,0.000144491,3.6e-7,4.011e-5,7.9e-7,0.000298801,0.000150041,4.15e-6,4.84e-6,0.002184479,0,0.0
LV,chained_hs53,20,AMPL,20,11,26,25,1.9e-7,1.0e-7,1.5e-7,2.2e-7,6.8e-7,2.9e-7,6.5e-7,6.5e-7,2.561e-5,0,0.0
COPS,elec,50,JuMP,150,50,150,11475,1.4e-7,1.15e-6,2.513e-5,2.56e-6,0.008798728,0.000322382,1.13e-6,5.276e-5,0.023499392,0,0.0
COPS,torsion,"(5, 5)",JuMP,49,49,49,133,2.6e-7,5.0e-8,7.8e-7,3.0e-8,3.0e-8,1.3e-7,6.0e-8,5.0e-8,0.000220481,0,0.0
COPS,elec,50,AMPL,150,50,150,11325,4.37e-5,9.5e-7,6.0081e-5,1.99e-6,0.000465592,0.000221201,4.23e-6,4.28e-6,0.001882408,0,0.0
COPS,torsion,"(5, 5)",AMPL,49,49,49,133,1.46e-6,1.7e-7,1.75e-6,3.7e-7,6.19e-6,3.6e-6,1.13e-6,1.14e-6,0.000162471,0,0.0
OPF-polar,pglib_opf_case588_sdet.m,pglib_opf_case588_sdet.m,JuMP,4110,5979,20839,30252,1.0e-7,5.947e-5,1.535e-5,0.000383902,0.002685742,2.9e-7,0.000298092,0.005958636,0.167870694,0,0.0
OPF-polar,pglib_opf_case6495_rte.m,pglib_opf_case6495_rte.m,JuMP,50426,76124,272030,396935,5.3e-7,0.001754568,0.000253811,0.025717033,0.109838451,3.15e-6,0.021405394,0.519823414,3.690599272,0,0.0
OPF-rect,pglib_opf_case300_ieee.m,pglib_opf_case300_ieee.m,JuMP,2382,4078,14553,16112,8.0e-8,0.00010923,8.2e-6,0.000349411,0.000221911,1.8e-7,0.000137571,0.011037038,0.029532698,0,0.0
OPF-rect,pglib_opf_case6468_rte.m,pglib_opf_case6468_rte.m,JuMP,49734,88873,314865,365810,3.3e-7,0.008355906,0.000223771,0.022305277,0.021757365,3.1e-6,0.013143997,3.446997041,1.200444817,0,0.0
OPF-polar,pglib_opf_case588_sdet.m,pglib_opf_case588_sdet.m,AMPL,4110,5979,21947,7216,8.1e-7,0.000263601,7.76e-6,0.000529652,0.000965914,0.000148311,0.000872054,0.000858953,0.011302199,0,0.0
OPF-polar,pglib_opf_case6495_rte.m,pglib_opf_case6495_rte.m,AMPL,50426,76124,284921,87897,8.26e-6,0.012899896,0.000213581,0.030176542,0.05064899,0.005761055,0.034020608,0.03441761,0.256616997,0,0.0
OPF-rect,pglib_opf_case300_ieee.m,pglib_opf_case300_ieee.m,AMPL,2382,3778,15092,4180,5.0e-7,0.000157071,1.38e-6,0.000338831,0.000784953,0.000190811,0.000579322,0.000595123,0.007804925,0,0.0
OPF-rect,pglib_opf_case6468_rte.m,pglib_opf_case6468_rte.m,AMPL,49734,82405,327608,87664,7.93e-6,0.012022823,2.49e-5,0.02746906,0.112411709,0.019278204,0.033608266,0.033599536,0.482687562,0,0.0
