suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,broyden_banded,200000,JuMP,400000,299999,1899981,2599978,0.000198601,0.050976392,0.003840716,0.265699247,0.235904997,0.112015287,0.090398624,185.487207621,32.860909307,0,0.0
LV,chained_hs52,2000,JuMP,2000,1496,3491,4491,1.09e-6,4.208e-5,1.478e-5,0.000165321,0.000151961,0.00012852,4.352e-5,0.005828805,0.009753162,0,0.0
LV,broyden_banded,200000,AMPL,400000,299999,1899981,899997,0.068801137,0.059286674,0.041791241,0.136909148,0.429002803,0.096291234,0.152760741,0.1558139,2.579745904,0,0.0
LV,chained_hs52,2000,AMPL,2000,1496,3491,2995,2.311e-5,1.246e-5,1.8941e-5,3.281e-5,0.000111661,3.854e-5,7.0541e-5,7.073e-5,0.001891812,0,0.0
COPS,dirichlet,100,JuMP,54163,9463,169724,364793,3.0e-8,0.000279582,6.6611e-5,0.010698456,0.079053181,3.37e-6,0.007655363,0.009160089,17.026354548,0,0.0
COPS,steering,400,JuMP,2006,1608,8008,5600,3.0e-8,2.684e-5,2.96e-6,0.000181951,0.000283051,1.5e-7,7.86e-5,0.003331564,0.036045335,0,0.0
COPS,dirichlet,100,AMPL,153919,109221,615406,261609,2.226e-5,0.122777528,7.347e-5,0.189079285,0.491513277,0.056178632,0.205118274,0.197144495,1.998460748,0,0.0
COPS,steering,400,AMPL,2006,1608,8008,1604,2.3e-7,6.716e-5,4.12e-6,0.00011707,0.000256991,5.13e-5,0.000189751,0.000187181,0.002429702,0,0.0
OPF-polar,pglib_opf_case300_ieee.m,pglib_opf_case300_ieee.m,JuMP,2382,3478,12500,18115,8.0e-8,3.5981e-5,8.5e-6,0.000217682,0.001105195,1.7e-7,0.000186101,0.001848759,0.098851994,0,0.0
OPF-polar,pglib_opf_case6468_rte.m,pglib_opf_case6468_rte.m,JuMP,49734,75937,270896,396097,3.3e-7,0.001594068,0.000230601,0.021039173,0.087329288,3.09e-6,0.019103904,0.280965695,3.310419343,0,0.0
OPF-rect,pglib_opf_case200_activ.m,pglib_opf_case200_activ.m,JuMP,1456,2516,8725,10149,9.0e-8,6.467e-5,5.36e-6,0.000201041,0.0001226,1.4e-7,8.0561e-5,0.004264081,0.016816733,0,0.0
OPF-rect,pglib_opf_case4917_goc.m,pglib_opf_case4917_goc.m,JuMP,37872,66751,237431,274769,7.2e-7,0.005249385,0.000192271,0.01439586,0.013187155,2.55e-6,0.007474937,1.775199329,0.707110431,0,0.0
OPF-polar,pglib_opf_case300_ieee.m,pglib_opf_case300_ieee.m,AMPL,2382,3478,13069,4180,5.0e-7,0.000146621,4.48e-6,0.000289221,0.000548102,8.216e-5,0.000441172,0.000442813,0.006298401,0,0.0
OPF-polar,pglib_opf_case6468_rte.m,pglib_opf_case6468_rte.m,AMPL,49734,75937,283735,87664,7.99e-6,0.011315345,0.000212581,0.02465837,0.042654149,0.002857454,0.029335544,0.029321013,0.197710648,0,0.0
OPF-rect,pglib_opf_case200_activ.m,pglib_opf_case200_activ.m,AMPL,1456,2316,9118,2591,4.7e-7,9.431e-5,1.13e-6,0.000207511,0.000475002,0.000128591,0.000317871,0.000314771,0.004682383,0,0.0
OPF-rect,pglib_opf_case4917_goc.m,pglib_opf_case4917_goc.m,AMPL,37872,61834,245870,66596,7.78e-6,0.00818933,2.14e-5,0.018006248,0.059961754,0.007824618,0.021739427,0.021759477,0.197848888,0,0.0
