suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,augmented_lagrangian,20,JuMP,20,18,54,78,1.0e-7,1.1e-7,2.6e-7,7.7e-7,6.5e-6,4.7e-6,7.7e-7,7.7e-7,0.000831624,0,0.0
LV,chained_hs53,200000,JuMP,200000,149996,349991,449991,9.8721e-5,0.026951228,0.00214907,0.066209538,0.029768719,0.017946949,0.025047829,42.324053026,18.987162182,0,0.0
LV,augmented_lagrangian,20,AMPL,20,18,54,60,4.3e-7,6.6e-7,3.9e-7,1.16e-6,3.94e-6,2.29e-6,1.94e-6,1.93e-6,5.633e-5,0,0.0
LV,chained_hs53,200000,AMPL,200000,149996,349991,299995,0.008193203,0.005905574,0.004465798,0.01000445,0.043347584,0.006330755,0.015818753,0.01504093,0.392018772,0,0.0
COPS,gasoil,2,JuMP,55,52,262,148,1.3e-7,3.0e-7,7.2e-7,6.9e-7,3.81e-6,8.0e-8,9.0e-7,8.0e-7,0.000561442,0,0.0
COPS,torsion,"(320, 320)",JuMP,103684,103684,103684,310408,0.000535452,8.549e-5,0.003538184,1.549e-5,4.911e-5,0.000339661,0.000114711,8.701e-5,1.110507673,0,0.0
COPS,gasoil,2,AMPL,55,52,262,92,1.62e-6,6.1e-7,2.18e-6,1.58e-6,6.78e-6,3.16e-6,4.43e-6,5.08e-6,0.000169891,0,0.0
COPS,torsion,"(320, 320)",AMPL,103684,103684,103684,310408,0.031266513,0.000397992,0.024427414,0.000870604,0.108898554,0.047616263,0.002498761,0.002504451,15.036969775,0,0.0
OPF-polar,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,JuMP,11192,16646,61333,88686,2.2e-7,0.000230851,5.295e-5,0.00225629,0.01649683,7.3e-7,0.001323976,0.063260799,0.639676722,0,0.0
OPF-polar,pglib_opf_case7336_epigrids.m,pglib_opf_case7336_epigrids.m,JuMP,62116,95306,346941,506838,5.3e-7,0.0022416,0.000317711,0.026918625,0.117201999,3.88e-6,0.024110452,0.417096125,4.132457971,0,0.0
OPF-rect,pglib_opf_case588_sdet.m,pglib_opf_case588_sdet.m,JuMP,4110,7155,24631,27968,1.0e-7,0.000195141,1.5931e-5,0.000620993,0.000371492,2.9e-7,0.000248881,0.025104757,0.047724583,0,0.0
OPF-rect,pglib_opf_case6495_rte.m,pglib_opf_case6495_rte.m,JuMP,50426,89114,316147,365864,5.3e-7,0.007998124,0.000255751,0.020435497,0.019951355,3.15e-6,0.011392738,2.915672705,1.060921103,0,0.0
OPF-polar,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,AMPL,11192,16646,62959,18866,2.17e-6,0.001009954,2.117e-5,0.002829312,0.004146048,0.000467712,0.005202832,0.004934301,0.037565879,0,0.0
OPF-polar,pglib_opf_case7336_epigrids.m,pglib_opf_case7336_epigrids.m,AMPL,62116,95306,361611,107760,1.005e-5,0.01409547,0.000279322,0.028928353,0.051254908,0.003823507,0.03541832,0.033774084,0.262410767,0,0.0
OPF-rect,pglib_opf_case588_sdet.m,pglib_opf_case588_sdet.m,AMPL,4110,6567,25672,7216,8.2e-7,0.000275421,2.0e-6,0.000603262,0.001392246,0.000341551,0.000997805,0.000984084,0.013753099,0,0.0
OPF-rect,pglib_opf_case6495_rte.m,pglib_opf_case6495_rte.m,AMPL,50426,82619,328940,87897,8.74e-6,0.010505575,2.578e-5,0.023653851,0.088880063,0.011725652,0.029383496,0.028582447,0.294519523,0,0.0
