suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,modified_brown,2000,JuMP,2000,6,30,3031,9.7e-7,1.02e-6,1.281e-5,1.46e-6,0.000145231,0.00013282,1.32e-6,5.91e-6,0.007828306,0,0.0
LV,modified_brown,2000,AMPL,2000,6,30,3002,2.85e-5,5.1e-7,2.9211e-5,1.06e-6,9.848e-5,5.1501e-5,5.04e-6,5.79e-6,0.005614625,0,0.0
COPS,glider,80,JuMP,406,327,2247,4960,3.0e-8,4.51e-6,1.07e-6,7.856e-5,0.000591203,5.0e-8,5.446e-5,0.000309112,0.067361045,0,0.0
COPS,glider,80,AMPL,406,327,2247,1134,7.0e-8,0.00021617,7.0e-7,0.000309861,0.001993768,2.57e-5,0.000340512,0.000336011,0.005778286,0,0.0
OPF-polar,pglib_opf_case2000_goc.m,pglib_opf_case2000_goc.m,JuMP,19008,29432,109591,160098,3.7e-7,0.000337952,8.234e-5,0.007667163,0.035552046,1.3e-6,0.005649895,0.094652264,1.329115253,0,0.0
OPF-polar,pglib_opf_case10000_goc.m,pglib_opf_case10000_goc.m,JuMP,76804,112352,400333,581513,1.7e-6,0.006661879,0.000436872,0.046190791,0.186614553,5.44e-6,0.042501915,1.270788244,5.220155342,0,0.0
OPF-rect,pglib_opf_case1888_rte.m,pglib_opf_case1888_rte.m,JuMP,14480,25270,89215,100844,2.5e-7,0.001186556,6.775e-5,0.004237688,0.005274103,9.3e-7,0.00216781,0.306602075,0.231785569,0,0.0
OPF-rect,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,JuMP,85568,149308,568661,651944,1.1e-6,0.018523351,0.000495312,0.051295194,0.045303137,5.66e-6,0.024685377,13.007493592,2.338850575,0,0.0
OPF-polar,pglib_opf_case2000_goc.m,pglib_opf_case2000_goc.m,AMPL,19008,29432,113467,31878,3.79e-6,0.004021298,4.703e-5,0.010494236,0.01848507,0.000842134,0.012567894,0.012601335,0.081331684,0,0.0
OPF-polar,pglib_opf_case10000_goc.m,pglib_opf_case10000_goc.m,AMPL,76804,112352,419823,134251,2.211e-5,0.017826528,0.000361031,0.042538945,0.072680056,0.009464272,0.049262765,0.048497291,0.344729372,0,0.0
OPF-rect,pglib_opf_case1888_rte.m,pglib_opf_case1888_rte.m,AMPL,14480,23382,92902,25020,2.67e-6,0.002667622,7.11e-6,0.006070287,0.018772792,0.001359386,0.008130045,0.008134996,0.075098967,0,0.0
OPF-rect,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,AMPL,85568,140067,571906,148747,1.74e-5,0.022142999,4.567e-5,0.048906606,0.19948734,0.028788346,0.061999439,0.06246703,0.617763508,0,0.0
