framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
examodels,cpu,20,0.330343524,1.640064143,0.018258484,7.0e-8,0.10391503,7.21e-7
examodels,cpu,200,0.279712618,1.637158006,0.018082941,3.9e-7,0.103068563,7.2e-6
examodels,cpu,2000,0.319730481,1.633775483,0.018087578,3.625e-6,0.103079548,7.219e-5
examodels,cpu,20000,0.27078578,1.640414507,0.018286241,3.603e-5,0.103413159,0.000732079
examodels,cpu,200000,0.269831625,1.644974063,0.021079022,0.000369139,0.101656087,0.007329205
