problem,case,framework,device,n,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,cpu_wall_ratio,colors_jac,colors_hess,nnz_jac,nnz_hess,unique_jac,unique_hess,computed_jac,computed_hess,tbuild_s,hostname,commit
lv,,jax,cpu,20,1,0.003244727849960327,0.0034244731068611145,0.0031543895602226257,0.004677101969718933,0.010253861546516418,"obj=plain/jit,cons=plain/jit,grad=plain/jit,jac=vmap/jit,hess=vmap/jit",0.99,3,3,54,39,54,39,54,60,,node4115,4bef613
lv,,jax,cpu,200,1,0.008832663297653198,0.010854564607143402,0.008352100849151611,0.019527040421962738,0.023531727492809296,"obj=plain/jit,cons=plain/jit,grad=plain/jit,jac=vmap/jit,hess=vmap/jit",0.99,3,3,594,399,594,399,594,600,,node4115,4bef613
lv,,jax,cpu,2000,1,0.009403564035892487,0.03435742110013962,0.009372830390930176,0.11679064482450485,0.15660561621189117,"obj=plain/jit,cons=plain/jit,grad=plain/jit,jac=vmap/jit,hess=vmap/jit",0.98,3,3,5994,3999,5994,3999,5994,6000,,node4115,4bef613
lv,,jax,cpu,20000,1,0.024262815713882446,0.2688812091946602,0.019186176359653473,1.104702241718769,1.502111554145813,"obj=plain/jit,cons=plain/jit,grad=plain/jit,jac=vmap/aot,hess=vmap/aot",1.0,3,3,59994,39999,59994,39999,59994,60000,,node4115,4bef613
lv,,jax,cpu,200000,1,0.1448802649974823,2.6203924790024757,0.11562928557395935,11.34340837597847,15.288608148694038,"obj=plain/jit,cons=plain/jit,grad=plain/jit,jac=vmap/jit,hess=vmap/aot",1.0,3,3,599994,399999,599994,399999,599994,600000,,node4115,4bef613
