problem,case,framework,device,n,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,cpu_wall_ratio,colors_jac,colors_hess,nnz_jac,nnz_hess,unique_jac,unique_hess,computed_jac,computed_hess,tbuild_s,hostname,commit
lv,,jax,cuda,20,1,0.43331808410584927,0.279715983197093,0.40469388477504253,0.41169486939907074,0.47670304775238037,"obj=plain/aot,cons=plain/aot,grad=plain/aot,jac=vmap/jit,hess=vmap/jit",0.39,3,3,54,39,54,39,54,60,,node5004,dda8704
lv,,jax,cuda,200,1,0.4089199937880039,0.40170690044760704,0.4100319929420948,0.42366795241832733,0.2860578242689371,"obj=plain/aot,cons=plain/jit,grad=plain/jit,jac=vmap/jit,hess=vmap/jit",0.51,3,3,594,399,594,399,594,600,,node5004,dda8704
lv,,jax,cuda,2000,1,0.47718314453959465,0.2937810495495796,0.19398611038923264,0.2786479890346527,0.38943998515605927,"obj=plain/jit,cons=plain/aot,grad=plain/aot,jac=vmap/aot,hess=vmap/aot",0.54,3,3,5994,3999,5994,3999,5994,6000,,node5004,dda8704
lv,,jax,cuda,20000,1,0.43042609468102455,0.41723810136318207,0.4332901444286108,0.39010820910334587,0.4298631101846695,"obj=plain/jit,cons=plain/aot,grad=plain/jit,jac=vmap/aot,hess=vmap/aot",0.41,3,3,59994,39999,59994,39999,59994,60000,,node5004,dda8704
lv,,jax,cuda,200000,1,0.40790485218167305,0.3499970771372318,0.419295160099864,0.443626893684268,0.27223280631005764,"obj=plain/aot,cons=plain/jit,grad=plain/aot,jac=vmap/jit,hess=vmap/aot",0.68,3,3,599994,399999,599994,399999,599994,600000,,node5004,dda8704
