problem,framework,device,n,case,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,nnzj,nnzh,batch_n,batch_spread,hostname,commit
lv,examodels,cuda,20,,1,0.031064005900000004,0.0055117111,0.019302791399999998,0.0096396503,0.016154906499999996,native,54,165,10000,0.13987380849282463,node5003,1c5ba8e
lv,examodels,cuda,200,,1,0.031426521,0.0054619592,0.0189879737,0.0101175777,0.0166751102,native,594,1785,10000,0.18476229188969429,node5003,1c5ba8e
lv,examodels,cuda,2000,,1,0.0410818693,0.014996242000000002,0.0210325799,0.020832691,0.0558835549,native,5994,17985,10000,0.33456341928864575,node5003,1c5ba8e
lv,examodels,cuda,20000,,1,0.040523160200000005,0.015136461100000002,0.0205187097,0.0210137415,0.0564067391,native,59994,179985,10000,0.325827415498065,node5003,1c5ba8e
lv,examodels,cuda,200000,,1,0.0404786681,0.0293040048,0.020288871799999997,0.041551317799999994,0.11933701599999999,native,599994,1799985,10000,0.11894784428918741,node5003,1c5ba8e
