problem,case,framework,device,n,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,cpu_wall_ratio,colors_jac,colors_hess,nnz_jac,nnz_hess,unique_jac,unique_hess,computed_jac,computed_hess,tbuild_s,hostname,commit
lv,,jax,cuda,20,1,0.034797005355358124,0.03795931115746498,0.037109944969415665,0.039029866456985474,0.03929482772946358,"obj=plain/jit,cons=plain/jit,grad=plain/aot,jac=vmap/aot,hess=vmap/jit",1.49,3,3,54,39,54,39,54,60,,node2436,31e7b19
lv,,jax,cuda,200,1,0.03738095983862877,0.03853859379887581,0.03633182495832443,0.04020612686872482,0.03830576315522194,"obj=plain/jit,cons=plain/aot,grad=plain/aot,jac=vmap/jit,hess=vmap/aot",1.52,3,3,594,399,594,399,594,600,,node2436,31e7b19
lv,,jax,cuda,2000,1,0.04238216206431389,0.042951665818691254,0.04290696233510971,0.04358496516942978,0.04340335726737976,"obj=plain/aot,cons=plain/jit,grad=plain/jit,jac=vmap/jit,hess=vmap/jit",1.37,3,3,5994,3999,5994,3999,5994,6000,,node2436,31e7b19
lv,,jax,cuda,20000,1,0.03531202673912048,0.034085940569639206,0.0332132913172245,0.0353432260453701,0.04057120531797409,"obj=plain/jit,cons=plain/jit,grad=plain/aot,jac=vmap/jit,hess=vmap/jit",1.39,3,3,59994,39999,59994,39999,59994,60000,,node2436,31e7b19
lv,,jax,cuda,200000,1,0.04076771438121796,0.037783291190862656,0.038411933928728104,0.08564023301005363,0.08430192247033119,"obj=plain/jit,cons=plain/jit,grad=plain/jit,jac=vmap/jit,hess=vmap/jit",0.82,3,3,599994,399999,599994,399999,599994,600000,,node2436,31e7b19
