problem,case,framework,device,n,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,cpu_wall_ratio,colors_jac,colors_hess,nnz_jac,nnz_hess,unique_jac,unique_hess,computed_jac,computed_hess,tbuild_s,hostname,commit
lv,,torch,cuda,20,1,0.007658003596588969,0.00741099938750267,0.006919988663867116,0.009103998309001327,0.27431698981672525,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap/plain",1.0,,,,,,,,,,node1702,e276519
lv,,torch,cuda,200,1,0.007184979040175676,0.007398019079118967,0.00677400385029614,0.008306989911943674,0.31521799974143505,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap/plain",1.0,,,,,,,,,,node1702,e276519
lv,,torch,cuda,2000,1,0.007566006388515234,0.007477996405214071,0.007007998647168279,0.00860801083035767,0.35100799868814647,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap/plain",1.0,,,,,,,,,,node1702,e276519
lv,,torch,cuda,20000,1,0.01034000888466835,0.007739989086985588,0.007127993740141392,0.00978400930762291,0.35452900920063257,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap/plain",1.0,,,,,,,,,,node1702,e276519
lv,,torch,cuda,200000,1,0.01050601713359356,0.008831004379317164,0.007991009624674916,0.03196299076080322,0.6536139990203083,"obj=plain/inductor,cons=plain/inductor,grad=plain/inductor,jac=vmap/inductor,hess=vmap/plain",1.0,,,,,,,,,,node1702,e276519
