suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
OPF-polar,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,JuMP,1088,1539,5703,8198,7.6e-8,2.3854e-5,6.137e-6,0.000190981,0.000855332,8.4e-8,0.000164429,0.001126131,0.067411544
OPF-polar,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,JuMP,11192,16646,61333,88686,3.37e-7,0.00046553,8.9489e-5,0.004234805,0.019776207,3.031e-6,0.002634747,0.114116102,1.048435603
OPF-polar,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,JuMP,25086,37813,140724,203851,6.08e-7,0.001232596,0.000212764,0.014172426,0.049408176,7.155e-6,0.01197282,0.521420604,2.101235933
OPF-polar,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,JuMP,85568,130826,491980,713775,1.631e-6,0.010097999,0.000807615,0.052951503,0.189286208,2.4917e-5,0.045648125,5.811538784,9.557387974
OPF-rect,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,JuMP,1088,1775,6561,7460,7.6e-8,8.0363e-5,6.118e-6,0.000270141,0.000172491,8.4e-8,0.000102395,0.004684463,0.020296277
OPF-rect,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,JuMP,11192,19354,71813,83234,3.4e-7,0.001211726,8.9614e-5,0.005026925,0.003219168,3.084e-6,0.001673114,0.359761423,0.292629372
OPF-rect,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,JuMP,25086,43551,163607,188462,6.07e-7,0.005264429,0.000212895,0.012684819,0.012043129,7.06e-6,0.007025765,1.730907874,0.746508699
OPF-rect,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,JuMP,85568,149308,568661,651944,1.63e-6,0.021449134,0.000805799,0.049568311,0.050917117,2.4845e-5,0.029877078,19.923449306,3.550719298
