suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-polar,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,JuMP,19088,28356,98612,143837,1.44e-7,0.000575843,0.000108787,0.007796172,0.038586274,1.461002267
OPF-polar,pglib_opf_case2737sop_k.m,pglib_opf_case2737sop_k.m,JuMP,18988,28358,98515,143842,1.22e-7,0.000559257,9.4345e-5,0.007998232,0.040089313,1.718771083
OPF-polar,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,JuMP,24540,38196,140570,205675,3.43e-7,0.000787952,0.000156981,0.012554163,0.052618655,2.29478973
OPF-polar,pglib_opf_case2746wop_k.m,pglib_opf_case2746wop_k.m,JuMP,19582,28642,100080,145515,1.56e-7,0.000581381,0.000111832,0.007919983,0.039493436,1.464213323
OPF-polar,pglib_opf_case2746wp_k.m,pglib_opf_case2746wp_k.m,JuMP,19520,28446,99283,144276,1.68e-7,0.000615214,0.000111482,0.007659785,0.038937306,1.481155511
OPF-polar,pglib_opf_case2848_rte.m,pglib_opf_case2848_rte.m,JuMP,21822,32129,114351,166192,6.06e-7,0.000661948,0.000168326,0.009765162,0.044412951,1.934919165
OPF-polar,pglib_opf_case2853_sdet.m,pglib_opf_case2853_sdet.m,JuMP,23028,33154,119665,172920,9.41e-7,0.000791173,0.000203984,0.010790502,0.046330027,1.723740796
OPF-polar,pglib_opf_case2868_rte.m,pglib_opf_case2868_rte.m,JuMP,22090,32393,115396,167585,6.64e-7,0.000701073,0.000188939,0.00935408,0.046964021,1.96197678
OPF-polar,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,JuMP,25086,37813,140724,203851,6.08e-7,0.00147193,0.000193414,0.014652676,0.053915213,2.23920952
OPF-polar,pglib_opf_case3012wp_k.m,pglib_opf_case3012wp_k.m,JuMP,21082,31029,107940,157177,1.65e-7,0.000648019,0.000120213,0.009114524,0.042821822,1.608714793
OPF-polar,pglib_opf_case3022_goc.m,pglib_opf_case3022_goc.m,JuMP,23238,34990,125203,182548,6.37e-7,0.000818199,0.000170613,0.0112637,0.049787296,2.050086213
OPF-polar,pglib_opf_case3120sp_k.m,pglib_opf_case3120sp_k.m,JuMP,21608,32092,111396,162501,1.52e-7,0.000644547,0.000123061,0.009945202,0.044543184,1.558821861
OPF-polar,pglib_opf_case3375wp_k.m,pglib_opf_case3375wp_k.m,JuMP,24350,35876,125798,183093,2.66e-7,0.000760342,0.000159757,0.010942416,0.049982707,2.139068509
OPF-polar,pglib_opf_case3970_goc.m,pglib_opf_case3970_goc.m,JuMP,35270,54428,200010,292282,6.05e-7,0.002003589,0.000259439,0.018663896,0.080086835,3.248844563
OPF-polar,pglib_opf_case4020_goc.m,pglib_opf_case4020_goc.m,JuMP,36696,56957,210388,307538,4.82e-7,0.002701373,0.000268902,0.022518959,0.090166497,3.471826896
OPF-polar,pglib_opf_case4601_goc.m,pglib_opf_case4601_goc.m,JuMP,38814,59596,216804,316835,6.23e-7,0.001867412,0.00028466,0.020389058,0.088866646,3.450780198
OPF-polar,pglib_opf_case4619_goc.m,pglib_opf_case4619_goc.m,JuMP,42532,66289,245400,358834,4.83e-7,0.002703299,0.000310379,0.024027596,0.099530928,3.819512614
OPF-polar,pglib_opf_case4661_sdet.m,pglib_opf_case4661_sdet.m,JuMP,34758,51302,182055,264564,8.41e-7,0.001580092,0.000291321,0.017209513,0.074311556,2.75449203
OPF-polar,pglib_opf_case4837_goc.m,pglib_opf_case4837_goc.m,JuMP,41398,64030,233663,341758,5.13e-7,0.003146753,0.000300223,0.023751785,0.093209699,3.734709576
OPF-polar,pglib_opf_case4917_goc.m,pglib_opf_case4917_goc.m,JuMP,37872,56917,203613,296835,1.072e-6,0.002689186,0.000312726,0.020895217,0.091952392,3.410969158
OPF-polar,pglib_opf_case5658_epigrids.m,pglib_opf_case5658_epigrids.m,JuMP,48552,74821,273109,399168,5.69e-7,0.00478223,0.000356843,0.028772147,0.116185037,4.510499202
OPF-polar,pglib_opf_case6468_rte.m,pglib_opf_case6468_rte.m,JuMP,49734,75937,270896,396097,4.88e-7,0.003358941,0.000358215,0.025671846,0.111271896,4.225537578
OPF-polar,pglib_opf_case6470_rte.m,pglib_opf_case6470_rte.m,JuMP,50482,75976,271746,396293,8.81e-7,0.003264699,0.000416503,0.025731109,0.111715457,4.138658628
OPF-polar,pglib_opf_case6495_rte.m,pglib_opf_case6495_rte.m,JuMP,50426,76124,272030,396935,7.94e-7,0.003519257,0.000413738,0.026042877,0.112073311,4.155272298
OPF-polar,pglib_opf_case6515_rte.m,pglib_opf_case6515_rte.m,JuMP,50546,76290,272581,397730,8.01e-7,0.003431257,0.000414588,0.027010981,0.109680842,4.178764663
OPF-polar,pglib_opf_case7336_epigrids.m,pglib_opf_case7336_epigrids.m,JuMP,62116,95306,346941,506838,7.97e-7,0.005115604,0.000509283,0.034825602,0.137296372,5.518454634
OPF-polar,pglib_opf_case8387_pegase.m,pglib_opf_case8387_pegase.m,JuMP,78748,118702,441065,641188,2.084e-6,0.006566113,0.000755581,0.044024483,0.175043217,6.764443308
OPF-polar,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,JuMP,85568,130826,491980,713775,1.631e-6,0.01077323,0.00080448,0.055757849,0.193669872,8.883129335
OPF-polar,pglib_opf_case9591_goc.m,pglib_opf_case9591_goc.m,JuMP,83572,130588,478303,700437,5.54e-7,0.007933387,0.000599901,0.047808816,0.194837298,8.371604689
OPF-polar,pglib_opf_case10000_goc.m,pglib_opf_case10000_goc.m,JuMP,76804,112352,400333,581513,2.536e-6,0.005542963,0.000733126,0.038619532,0.162680094,6.26833188
OPF-polar,pglib_opf_case10192_epigrids.m,pglib_opf_case10192_epigrids.m,JuMP,89850,139456,511761,749183,2.324e-6,0.007177023,0.000732049,0.050593481,0.213274562,9.209294902
OPF-polar,pglib_opf_case10480_goc.m,pglib_opf_case10480_goc.m,JuMP,96750,150874,558573,817120,1.497e-6,0.008462799,0.000790838,0.054611135,0.242066683,9.874405213
OPF-polar,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,JuMP,117370,170588,632457,910810,4.499e-6,0.013379272,0.001277218,0.072070935,0.263869067,11.280519375
OPF-polar,pglib_opf_case19402_goc.m,pglib_opf_case19402_goc.m,JuMP,179562,281733,1045514,1529676,1.649e-6,0.017464875,0.001460362,0.10884347,0.504729952,21.772784441
OPF-polar,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,JuMP,179236,274918,1005090,1469424,6.224e-6,0.015892945,0.001663939,0.105410287,0.429802153,21.345415537
OPF-polar,pglib_opf_case24464_goc.m,pglib_opf_case24464_goc.m,JuMP,203374,313641,1156996,1683585,2.55e-6,0.028783252,0.001849486,0.141949096,0.494960125,23.482806447
OPF-polar,pglib_opf_case30000_goc.m,pglib_opf_case30000_goc.m,JuMP,208624,307752,1069981,1558802,2.277e-6,0.016932586,0.001893441,0.108566685,0.447781348,23.286852712
OPF-polar,pglib_opf_case78484_epigrids.m,pglib_opf_case78484_epigrids.m,JuMP,674562,1039062,3794009,5544672,7.407e-6,0.062702944,0.007565695,0.396509631,1.865067245,92.16987455
OPF-rect,pglib_opf_case3_lmbd.m,pglib_opf_case3_lmbd.m,JuMP,24,34,115,128,6.4e-8,1.112e-6,8.4e-7,3.594e-6,2.0e-6,0.000600687
OPF-rect,pglib_opf_case5_pjm.m,pglib_opf_case5_pjm.m,JuMP,44,63,223,248,6.2e-8,2.052e-6,9.31e-7,6.783e-6,3.855e-6,0.000900129
OPF-rect,pglib_opf_case14_ieee.m,pglib_opf_case14_ieee.m,JuMP,118,197,709,758,6.0e-8,6.729e-6,1.142e-6,2.2845e-5,1.2336e-5,0.002287843
OPF-rect,pglib_opf_case24_ieee_rts.m,pglib_opf_case24_ieee_rts.m,JuMP,266,363,1381,1564,1.3e-7,1.2011e-5,2.142e-6,4.2348e-5,2.3248e-5,0.004201228
OPF-rect,pglib_opf_case30_ieee.m,pglib_opf_case30_ieee.m,JuMP,236,408,1449,1598,6.1e-8,1.3041e-5,1.483e-6,4.6306e-5,2.6652e-5,0.004322653
OPF-rect,pglib_opf_case30_as.m,pglib_opf_case30_as.m,JuMP,236,408,1449,1604,7.3e-8,1.2887e-5,1.611e-6,4.5821e-5,2.5035e-5,0.004367111
OPF-rect,pglib_opf_case39_epri.m,pglib_opf_case39_epri.m,JuMP,282,479,1649,1856,6.6e-8,1.4868e-5,1.892e-6,5.2301e-5,2.8182e-5,0.004923623
OPF-rect,pglib_opf_case57_ieee.m,pglib_opf_case57_ieee.m,JuMP,448,789,2809,3058,6.1e-8,2.5392e-5,2.331e-6,0.000101647,5.3174e-5,0.008160506
OPF-rect,pglib_opf_case60_c.m,pglib_opf_case60_c.m,JuMP,518,857,3127,3176,8.1e-8,2.9028e-5,3.083e-6,0.000124028,6.2558e-5,0.009281136
OPF-rect,pglib_opf_case73_ieee_rts.m,pglib_opf_case73_ieee_rts.m,JuMP,824,1133,4337,4912,2.97e-7,3.9098e-5,5.638e-6,0.000164225,9.9922e-5,0.012824083
OPF-rect,pglib_opf_case89_pegase.m,pglib_opf_case89_pegase.m,JuMP,1042,1827,7241,8356,7.1e-8,8.4016e-5,4.966e-6,0.000313726,0.00019207,0.020825802
OPF-rect,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,JuMP,1088,1775,6561,7460,7.8e-8,6.9415e-5,5.646e-6,0.000260909,0.000168503,0.019639327
OPF-rect,pglib_opf_case162_ieee_dtc.m,pglib_opf_case162_ieee_dtc.m,JuMP,1484,2637,9829,11112,6.8e-8,0.000118136,6.696e-6,0.000409832,0.000266724,0.029129491
OPF-rect,pglib_opf_case179_goc.m,pglib_opf_case179_goc.m,JuMP,1468,2558,9271,9926,8.9e-8,0.000108781,7.336e-6,0.000388956,0.000246055,0.027817398
OPF-rect,pglib_opf_case197_snem.m,pglib_opf_case197_snem.m,JuMP,1608,2791,10027,11672,9.4e-8,0.000119017,8.778e-6,0.000405712,0.000272341,0.029939872
OPF-rect,pglib_opf_case200_activ.m,pglib_opf_case200_activ.m,JuMP,1456,2516,8725,10149,1.51e-7,9.9896e-5,8.017e-6,0.000340336,0.000227848,0.026682027
OPF-rect,pglib_opf_case240_pserc.m,pglib_opf_case240_pserc.m,JuMP,2558,4097,15583,16868,2.11e-7,0.000181007,1.7279e-5,0.000594024,0.000422283,0.047445735
OPF-rect,pglib_opf_case300_ieee.m,pglib_opf_case300_ieee.m,JuMP,2382,4078,14553,16112,1.27e-7,0.000175647,1.2667e-5,0.000580792,0.000399251,0.045337425
OPF-rect,pglib_opf_case500_goc.m,pglib_opf_case500_goc.m,JuMP,4254,7097,25701,29786,3.66e-7,0.000307042,2.7913e-5,0.001059469,0.000717847,0.08117077
