framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
examodels,cpu,20,0.396064971,2.090977262,0.024233763,1.2e-7,0.1431681,1.15e-6
examodels,cpu,200,0.351873258,2.085851682,0.024144464,5.8e-7,0.141142857,1.137e-5
examodels,cpu,2000,0.35052206,2.085915922,0.024121663,5.44e-6,0.142667017,0.000116931
examodels,cpu,20000,0.315557864,2.095040737,0.024395075,5.603e-5,0.144315036,0.001175217
examodels,cpu,200000,0.310647734,2.096163914,0.025748842,0.000584333,0.143731273,0.01170238
