framework,device,n,threads,tobj_ms,tcons_ms,tgrad_ms,tjac_ms,thess_ms,variant,nnzj,nnzh,hostname,commit
examodels,cpu,20,1,2.0e-5,0.0003,7.000000000000001e-5,0.00058,0.00104,native,54,165,node3621,69525a4
examodels,cpu,200,1,2.0e-5,0.00275,0.00055,0.006319999999999999,0.011179999999999999,native,594,1785,node3621,69525a4
examodels,cpu,2000,1,2.0e-5,0.0275,0.005339999999999999,0.063011,0.11451,native,5994,17985,node3621,69525a4
examodels,cpu,20000,1,2.0e-5,0.27409100000000003,0.054411,0.6259129999999999,1.166327,native,59994,179985,node3621,69525a4
examodels,cpu,200000,1,2.0e-5,2.735117,0.5746739999999999,6.398988,11.60201,native,599994,1799985,node3621,69525a4
