suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-polar,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,JuMP,19088,28356,98612,143837,1.75e-7,0.000679855,0.000144243,0.00822474,0.042729759,1.992584723
OPF-polar,pglib_opf_case2737sop_k.m,pglib_opf_case2737sop_k.m,JuMP,18988,28358,98515,143842,1.3e-7,0.000604702,0.000125877,0.00789138,0.043504339,1.948940923
OPF-polar,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,JuMP,24540,38196,140570,205675,4.09e-7,0.000956111,0.000224259,0.013648074,0.066528671,2.706373852
OPF-polar,pglib_opf_case2746wop_k.m,pglib_opf_case2746wop_k.m,JuMP,19582,28642,100080,145515,1.6e-7,0.000617296,0.000148838,0.007777551,0.040091081,1.573905628
OPF-polar,pglib_opf_case2746wp_k.m,pglib_opf_case2746wp_k.m,JuMP,19520,28446,99283,144276,1.83e-7,0.000636828,0.000148217,0.007490111,0.043013941,1.647884063
OPF-polar,pglib_opf_case2848_rte.m,pglib_opf_case2848_rte.m,JuMP,21822,32129,114351,166192,6.59e-7,0.000723268,0.000222333,0.0097226,0.047512881,2.370061071
OPF-polar,pglib_opf_case2853_sdet.m,pglib_opf_case2853_sdet.m,JuMP,23028,33154,119665,172920,1.122e-6,0.00090429,0.000282913,0.010742485,0.050471699,2.047390089
OPF-polar,pglib_opf_case2868_rte.m,pglib_opf_case2868_rte.m,JuMP,22090,32393,115396,167585,7.9e-7,0.000784488,0.000246123,0.011000616,0.048274076,2.277587957
OPF-polar,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,JuMP,25086,37813,140724,203851,7.26e-7,0.002577205,0.00026147,0.014105034,0.057425367,2.579527366
OPF-polar,pglib_opf_case3012wp_k.m,pglib_opf_case3012wp_k.m,JuMP,21082,31029,107940,157177,1.75e-7,0.000718324,0.000159423,0.010231857,0.046650533,1.858946092
